,Date,Pitcher,RelSpeed,SpinRate,Tilt,InducedVertBreak,HorzBreak,VertBreak,RelHeight,RelSide,VertApprAngle,HorzApprAngle,Inning,ZoneSpeed,ZoneTime,EffectiveVelo,SpeedDrop,Extension,PitcherThrows,Batter,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,VertRelAngle,HorzRelAngle,PlateLocHeight,PlateLocSide,HitSpinAxis,HangTime,Bearing,Distance,HitSpinRate,Direction,Angle,ExitSpeed
25,2023-02-03,"Hilton, Jake",88.63659,2310.113469,11:30,15.47883,-3.19614,-20.43139,5.0664,-1.09412,-5.379762,3.311965,2,80.63093,0.431301,87.39243,8.00566,5.87944,Left,"Clogsdon, Aaron",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,-1.52837,3.883276,1.94077,2.2515,,,,,,,,
26,2023-02-03,"Hilton, Jake",74.38968,1473.80821,10:30,9.96449,-9.4917,-40.5803,5.04894,-1.36212,-4.928556,-1.864698,2,67.74276,0.511693,73.6622,6.64692,5.98706,Left,"Clogsdon, Aaron",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,2.64438,-0.159731,4.1199,-2.30114,,,,,,,,
27,2023-02-03,"Hilton, Jake",86.64961,2106.48395,11:30,15.99147,-3.4939,-21.21359,5.03077,-1.26318,-5.785676,1.221176,2,79.37107,0.439008,85.85818,7.27854,5.89362,Left,"Clogsdon, Aaron",Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,-1.798198,1.848051,1.592,0.1621,,,,,,,,
28,2023-02-03,"Hilton, Jake",88.05374,2151.82867,11:00,13.59288,-6.2787,-22.8534,5.11946,-1.26816,-5.120439,0.749178,2,80.44957,0.434508,86.74733,7.60417,5.60964,Left,"Cissne, Riley",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-0.854109,1.869728,2.41728,-0.04552,,,,,,,,
29,2023-02-03,"Hilton, Jake",87.668,2201.852392,10:45,13.28261,-9.35414,-23.68525,5.16565,-1.2532,-4.291313,0.044397,2,79.70625,0.437606,86.1332,7.96176,5.55584,Left,"Cissne, Riley",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0.137427,1.712031,3.32034,-0.43258,,,,,,,,
30,2023-02-03,"Hilton, Jake",75.97833,1520.669072,10:15,10.58382,-12.83776,-37.74707,4.94711,-1.27746,-6.184454,-0.664042,2,69.73868,0.500362,75.3304,6.23965,5.86732,Left,"Cissne, Riley",ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,0.822572,1.639281,2.56599,-0.82409,,3.748057,-14.117725,298.0155,1350.492317,-13.038246,25.292813,83.55422
31,2023-02-03,"Hilton, Jake",87.37098,2297.291758,11:15,20.58107,-8.65248,-16.78245,5.16598,-1.43215,-4.216378,0.024043,2,79.5807,0.439942,85.67597,7.79028,5.40526,Left,"Tanner, Elijah",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-1.03029,1.562261,2.80161,-0.68901,,,,,,,,
32,2023-02-03,"Hilton, Jake",72.96501,2385.356098,4:30,-11.79768,12.7054,-65.62153,4.81886,-1.67572,-6.765904,1.044254,2,66.77722,0.52803,71.38312,6.18779,5.3117,Left,"Tanner, Elijah",Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,5.13429,-1.207426,4.18356,-1.75042,,,,,,,,
33,2023-02-03,"Hilton, Jake",87.34334,2281.104294,11:00,18.90989,-9.25953,-18.12718,5.1413,-1.22395,-5.126127,1.743377,2,79.98051,0.438016,86.0527,7.36283,5.60347,Left,"Tanner, Elijah",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-1.707782,3.392185,2.03317,1.17483,,,,,,,,
34,2023-02-03,"Hilton, Jake",88.34246,2275.96022,11:00,16.81088,-9.6093,-19.26159,5.20483,-1.33867,-4.425549,1.436105,2,81.05368,0.432274,87.19566,7.28878,5.59958,Left,"Tanner, Elijah",Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,-0.810514,3.147687,2.84182,0.80219,329.761941,0.128647,0.699453,11.03271,,6.085612,-15.807723,48.12007
35,2023-02-03,"Hilton, Jake",70.82801,2311.076139,5:15,-19.01666,9.90941,-75.92606,5.01676,-1.29448,-10.462088,1.295187,2,64.94244,0.542955,69.42098,5.88557,5.52765,Left,"Dryden, Hunter",Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,3.324143,-0.475133,1.80076,-0.91288,,,,,,,,
36,2023-02-03,"Hilton, Jake",87.47979,2356.543602,10:45,17.79962,-11.643,-19.25796,5.17601,-1.36171,-3.925451,-0.729121,2,79.65549,0.438137,86.02889,7.82431,5.55023,Left,"Dryden, Hunter",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-0.2885,1.346753,3.30151,-1.07325,,,,,,,,
37,2023-02-03,"Hilton, Jake",88.0376,2316.957427,11:30,19.46745,-5.07299,-16.67139,5.23202,-1.42862,-3.690311,0.679157,2,80.31868,0.432672,87.11554,7.71891,5.82893,Left,"Dryden, Hunter",Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,-0.507482,1.588009,3.37079,-0.37479,,,,,,,,
64,2023-02-03,"Hilton, Jake",85.34966,2205.912101,10:45,14.10438,-10.01894,-24.21797,5.11146,-1.17741,-5.140173,1.072236,3,78.07462,0.445551,84.59734,7.27504,5.92114,Left,"Ley, Cameron",Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,-0.597493,2.868782,2.53812,0.65209,,,,,,,,
65,2023-02-03,"Hilton, Jake",86.91453,2304.899001,11:00,19.39702,-11.13705,-17.93702,5.03748,-1.34593,-5.450181,0.527701,3,79.33426,0.439768,85.70976,7.58027,5.72519,Left,"Ley, Cameron",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-2.049672,2.518308,1.631,0.07306,,,,,,,,
66,2023-02-03,"Hilton, Jake",87.12467,2313.134834,10:45,14.84509,-9.82752,-21.99611,5.15979,-1.14665,-6.17651,0.711223,3,80.17046,0.436856,86.28115,6.9542,5.76704,Left,"Ley, Cameron",Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,-2.07234,2.469842,1.39548,0.33443,,,,,,,,
67,2023-02-03,"Hilton, Jake",87.58983,2275.804733,10:45,15.77147,-10.31044,-21.20052,5.15195,-1.30864,-5.438171,0.456029,3,79.76052,0.437631,86.1284,7.82931,5.6228,Left,"Paul, Austin",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,-1.45789,2.296068,2.02336,-0.02403,,,,,,,,
